1,2,3,4,5,6,7
187875742.2,836756169.4,862141729.3,14645800.48,58003552.54,452149416.5,85251294.79
553528279.1,9473784.095,385547237.8,19802445.59,544477622.6,189655109.9,180576834
75738737.69,34475926.38,124387583.4,41505737.82,372064473.5,539959093.9,448118063.6
552871791,304030593,826035701.8,107344872.2,41274656.78,148043647.4,777097539.4
460422592.3,328252023.5,127042609.1,750473884.7,62913522.98,400421357.1,71980113.36
363391796.2,99414934.37,35254356.95,467977870.4,384823121.1,77650155,262373570.2
122127000,326347374,78616565.35,119334136.7,520792903.1,606507572.1,68030800.52
562346692.7,169161088.1,146896979.4,30410853.72,348974282.9,311614496.8,663486540.6
109867567.6,406213285.5,68384559.47,237817359.6,225133283,129518750.6,14577500.31
112281760.4,189052283.6,18143313.91,203046221.1,6723126.337,214719072.1,134028259.4
25403148.54,807345367.4,299273007.1,428255206.9,16299847.8,538297959.6,193803622.1
174779498.6,57631178.99,646339429.4,335564302.4,471313926.8,134609097.3,198307591.6
428793711.3,853274935.9,569838121.1,536622832.9,664261339.3,303706975.8,198707899.4
450787307.8,163199095.7,542934485.3,113846119.3,152245648.4,683398495.7,655975613.7
458711211.6,321601244.8,176967689.2,545152628.8,76217882.55,56677172.33,916285203.6
214280770.2,596035224,86835042.55,176968285.8,228467080.8,197147296.4,353971174.2
